"pathway_a","pathway_b","correlation","partial_correlation","p_value","FDR"
"HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION",0.22294256142171,0.0658529463609847,0.0332066136292832,0.0680235814312239
"HALLMARK_ADIPOGENESIS","HALLMARK_ANDROGEN_RESPONSE",0.555799555152302,-0.1921430615132,3.72077277454e-10,4.5128184641698e-09
"HALLMARK_ADIPOGENESIS","HALLMARK_ANGIOGENESIS",0.367520937445592,0.0611045335682704,0.0481863223626537,0.0928117058085704
"HALLMARK_ADIPOGENESIS","HALLMARK_APICAL_JUNCTION",0.543808145369034,-0.0228077471839823,0.461207329953392,0.562168138500403
"HALLMARK_ADIPOGENESIS","HALLMARK_APICAL_SURFACE",0.452749869001042,0.000212031124952735,0.994535095966913,0.996976671488926
"HALLMARK_ADIPOGENESIS","HALLMARK_APOPTOSIS",0.614203738616126,-0.106609043654577,0.000553022823104461,0.00206540536067977
"HALLMARK_ADIPOGENESIS","HALLMARK_BILE_ACID_METABOLISM",0.671753275584437,-0.0510135343217496,0.0991523885875566,0.1668429615656
"HALLMARK_ADIPOGENESIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.515486410703427,0.209491959044223,7.73648459797614e-12,1.21502482468215e-10
"HALLMARK_ADIPOGENESIS","HALLMARK_COAGULATION",0.411080705340889,0.0285297668333829,0.356637137022143,0.461818702803515
"HALLMARK_ADIPOGENESIS","HALLMARK_COMPLEMENT",0.466794935357098,0.0730753589274637,0.0180918687009358,0.0413826947054629
"HALLMARK_ADIPOGENESIS","HALLMARK_DNA_REPAIR",0.594929596994246,-0.073845641353369,0.0169073490987439,0.0391956144161273
"HALLMARK_ADIPOGENESIS","HALLMARK_E2F_TARGETS",0.192835228390886,0.0511801942540237,0.0980521506481235,0.165903155447447
"HALLMARK_ADIPOGENESIS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.372006462058378,-0.16067724427563,1.74742012809646e-07,1.31324518829335e-06
"HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.482583113721976,0.0167832722037175,0.58768592463539,0.675100467916804
"HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_LATE",0.573778606176273,-0.0472577348880991,0.126653632671945,0.20277572641991
"HALLMARK_ADIPOGENESIS","HALLMARK_FATTY_ACID_METABOLISM",0.818265506564486,0.290022766270135,1.01639583985597e-21,3.27653922058832e-20
"HALLMARK_ADIPOGENESIS","HALLMARK_G2M_CHECKPOINT",0.143517505656417,-0.0227317164686573,0.462702994342998,0.563430584562795
"HALLMARK_ADIPOGENESIS","HALLMARK_GLYCOLYSIS",0.558599228662494,-0.0458201114158646,0.138628837528692,0.217718366631599
"HALLMARK_ADIPOGENESIS","HALLMARK_HEDGEHOG_SIGNALING",0.455258132713789,0.0200162494388022,0.517855420086847,0.615421590044007
"HALLMARK_ADIPOGENESIS","HALLMARK_HEME_METABOLISM",0.722941150473079,-0.0523166748971314,0.0908068280710506,0.157338563489444
"HALLMARK_ADIPOGENESIS","HALLMARK_HYPOXIA",0.592836904352786,0.11676113559143,0.000153883859490922,0.000678085352073308
"HALLMARK_ADIPOGENESIS","HALLMARK_IL2_STAT5_SIGNALING",0.391890611881448,-0.0483032852838489,0.118461332138199,0.192460387094555
"HALLMARK_ADIPOGENESIS","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.362102475770374,0.118643382171092,0.000119983879324651,0.000546394989489582
