"sample","lib_size"
"TCGA-OL-A6VQ-01A-12R-A41B-07",19303211
"TCGA-GM-A2DO-01A-11R-A18M-07",21317570
"TCGA-3C-AALJ-01A-31R-A41B-07",22598154
"TCGA-BH-A1ES-01A-11R-A137-07",23194341
"TCGA-A8-A08B-01A-11R-A00Z-07",23466090
"TCGA-GM-A2DA-01A-11R-A18M-07",23720549
"TCGA-A8-A09T-01A-11R-A00Z-07",23745717
"TCGA-5L-AAT1-01A-12R-A41B-07",24260663
"TCGA-E2-A156-01A-11R-A12D-07",24769286
"TCGA-GM-A2DI-01A-31R-A18M-07",24823576
"TCGA-E2-A1BC-01A-11R-A12P-07",25607159
