pathway_a,pathway_b,partial_corr_subtype,p_value_subtype,jaccard_subtype,FDR_subtype,weight_subtype,partial_corr_global,p_value_global,FDR_global,jaccard_global,weight_global,delta_partial_corr,delta_weight,abs_delta_weight,subtype,rewiring_direction
HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,0.05117322533076321,0.48319125646453837,0.0025062656641604,0.6980062372276645,0.026839745497461806,0.06585294636101746,0.029405678829142662,0.060237385561370836,0.0025062656641604,0.03417960601258893,-0.01467972103025425,-0.007339860515127125,0.007339860515127125,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_ANDROGEN_RESPONSE,-0.4369986651917872,2.9066134772678316e-10,0.0066889632107023,1.6184552316604973e-08,0.22184381420124474,-0.19214306151322336,1.476422395424957e-10,1.790710331084725e-09,0.0066889632107023,0.09941601236196283,-0.24485560367856385,0.12242780183928191,0.12242780183928191,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_ANGIOGENESIS,-0.027767972216589866,0.7037207663445941,0.0042553191489361,0.8651345211456559,0.016011645682762983,0.06110453356830393,0.04331587305957398,0.0834307303427329,0.0042553191489361,0.032679926358620014,-0.0888725057848938,-0.01666828067585703,0.01666828067585703,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_APICAL_JUNCTION,-0.09246275925127972,0.20450504616854734,0.0050251256281407,0.4326747522564257,0.04874394243971021,-0.022807747183995725,0.4510791371990384,0.5498228289242011,0.0050251256281407,0.013916436406068213,-0.069655012067284,0.034827506033642,0.034827506033642,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_APICAL_SURFACE,0.001770018239206288,0.9806635371417726,0.0041152263374485,0.995277840563973,0.002942622288327394,0.00021203112494133696,0.9944108209199807,0.9968520913477712,0.0041152263374485,0.0021636287311949188,0.001557987114264951,0.0007789935571324751,0.0007789935571324751,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_APOPTOSIS,-0.0774273216075808,0.28832011416720715,0.019774011299435,0.5348932277848955,0.0486006664535079,-0.1066090436545697,0.0004121096169762532,0.0015391289048655799,0.019774011299435,0.06319152747700235,0.029181722046988906,-0.014590861023494453,0.014590861023494453,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_BILE_ACID_METABOLISM,-0.07340388994049718,0.3141825867251258,0.0297029702970297,0.5587225592599447,0.05155343011876344,-0.051013534321742195,0.09170413945842278,0.15430985005023062,0.0297029702970297,0.040358252309385945,-0.022390355618754985,0.011195177809377496,0.011195177809377496,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.2892413628790839,5.177580090128864e-05,0.0148148148148148,0.0010750060356623488,0.15202808884694935,0.20949195904422246,2.578525906340687e-12,4.0496079939324895e-11,0.0148148148148148,0.11215338692951864,0.07974940383486145,0.03987470191743071,0.03987470191743071,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_COAGULATION,0.15331593453748005,0.03469754665925226,0.0029673590504451,0.13623235467174366,0.07814164679396257,0.028529766833462547,0.3458065885328978,0.4477939439247355,0.0029673590504451,0.015748562941953825,0.1247861677040175,0.06239308385200874,0.06239308385200874,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_COMPLEMENT,0.11539331874433202,0.11287740776554694,0.0101010101010101,0.3005974445930326,0.06274716442267106,0.07307535892740777,0.015628134010204558,0.03574847041820816,0.0101010101010101,0.04158818451420893,0.04231795981692425,0.021158979908462126,0.021158979908462126,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_DNA_REPAIR,-0.2027368682738183,0.005027194291690522,0.0057471264367816,0.03778106139460668,0.10424199735529995,-0.07384564135335417,0.014564202835201812,0.03376513920355502,0.0057471264367816,0.039796383895067886,-0.12889122692046412,0.06444561346023206,0.06444561346023206,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_E2F_TARGETS,0.0823705907393748,0.25854833720414566,0.0050251256281407,0.4964290173590571,0.04369785818375775,0.05118019425402694,0.09064731391216681,0.15337425351160822,0.0050251256281407,0.028102659941083817,0.031190396485347868,0.015595198242673934,0.015595198242673934,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.10422043812291815,0.15243032465398212,0.0075566750629722,0.36187431725024827,0.05588855659294517,-0.16067724427569505,9.132767988630029e-08,6.863583304338518e-07,0.0075566750629722,0.08411695966933362,0.0564568061527769,-0.02822840307638845,0.02822840307638845,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.011326259422353591,0.876745283445753,0.0101010101010101,0.9535510210304372,0.010713634761681846,0.01678327220369127,0.5792213575763151,0.6653886742748115,0.0101010101010101,0.013442141152350685,-0.005457012781337679,-0.0027285063906688396,0.0027285063906688396,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.019964458296321656,0.7845439478094705,0.0204081632653061,0.9102743597365996,0.020186310780813878,-0.04725773488807914,0.11824860474155703,0.1893272376514712,0.0204081632653061,0.03383294907669262,0.027293276591757485,-0.01364663829587874,0.01364663829587874,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,0.461825901496303,1.9892002215879836e-11,0.0881458966565349,1.5229814196532998e-09,0.27498589907641896,0.2900227662701483,1.2069756443928542e-22,3.890908327319069e-21,0.0881458966565349,0.18908433146334158,0.1718031352261547,0.08590156761307738,0.08590156761307738,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_G2M_CHECKPOINT,0.018878998683486862,0.7959941604860732,0.0025062656641604,0.9142161597283208,0.010692632173823631,-0.022731716468668384,0.4525898936007613,0.5511159241162352,0.0025062656641604,0.012618991066414393,0.041610715152155246,-0.0019263588925907613,0.0019263588925907613,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_GLYCOLYSIS,-0.1036937270709477,0.1545251508339787,0.0256410256410256,0.36402559571466137,0.06466737635598666,-0.045820111415865825,0.12987528163395362,0.20397079487383743,0.0256410256410256,0.03573056852844571,-0.05787361565508188,0.028936807827540947,0.028936807827540947,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_HEDGEHOG_SIGNALING,0.15292125627740566,0.03517229971226471,0.0,0.13721677435517282,0.07646062813870283,0.020016249438821233,0.5083812926697525,0.6041663389496491,0.0,0.010008124719410616,0.13290500683858442,0.06645250341929221,0.06645250341929221,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_HEME_METABOLISM,-0.16469488828187967,0.02316453501566907,0.0126582278481012,0.10708134111016834,0.08867655806499043,-0.052316674897135665,0.08369900213107069,0.14502302349442941,0.0126582278481012,0.03248745137261843,-0.112378213384744,0.056189106692372,0.056189106692372,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_HYPOXIA,0.08731896074976925,0.2309342100414573,0.0282776349614395,0.4691449540643204,0.05779829785560438,0.11676113559143964,0.00010848565282674918,0.0004780392975279415,0.0282776349614395,0.07251938527643957,-0.029442174841670388,-0.014721087420835194,0.014721087420835194,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_IL2_STAT5_SIGNALING,-0.123943154366527,0.08842963272099026,0.0178571428571428,0.25889893444142587,0.0709001486118349,-0.04830328528385554,0.11031715869004934,0.17922880556407217,0.0178571428571428,0.03308021407049917,-0.07563986908267147,0.037819934541335726,0.037819934541335726,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.026076421148724684,0.7209963687901796,0.0070175438596491,0.8727475807983893,0.016546982504186892,0.11864338217111574,8.367453467321018e-05,0.0003810457434003066,0.0070175438596491,0.06283046301538242,-0.09256696102239105,-0.04628348051119553,0.04628348051119553,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,0.024853102110828335,0.7335791778798626,0.0025062656641604,0.879290110472438,0.013679683887494368,-0.047688842409469995,0.114925772386437,0.18499877946568374,0.0025062656641604,0.025097554036815198,0.07254194452029833,-0.01141787014932083,0.01141787014932083,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.13298701625443027,0.06737923740965603,0.0,0.21607216185033673,0.06649350812721513,0.10259330738686333,0.0006777282448322423,0.002378845558508587,0.0,0.051296653693431664,0.03039370886756694,0.01519685443378347,0.01519685443378347,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.12650538834905767,0.08199187682415003,0.0050251256281407,0.2506888838268902,0.06576525698859918,-0.10304147287398571,0.000641673726177813,0.002271821718404107,0.0050251256281407,0.054033299251063205,-0.023463915475071956,0.011731957737535978,0.011731957737535978,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_KRAS_SIGNALING_DN,-0.04202935350864821,0.5647732495157504,0.0,0.7736088057738438,0.021014676754324106,-0.11261020034396857,0.00018975653400037318,0.0007960676512001957,0.0,0.056305100171984285,0.07058084683532036,-0.03529042341766018,0.03529042341766018,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_KRAS_SIGNALING_UP,-0.0022101816161603015,0.9758563086994235,0.0101010101010101,0.9920530939060529,0.006155595858585201,0.04421306353590527,0.14390032325051302,0.22201246345324743,0.0101010101010101,0.027157036818457686,-0.04642324515206557,-0.021001440959872483,0.021001440959872483,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_MITOTIC_SPINDLE,0.05318571107708587,0.4661284900773365,0.0025125628140703,0.680122488380874,0.027849136945578085,0.0871042131994918,0.003936347765958201,0.011059692691052286,0.0025125628140703,0.04480838800678105,-0.03391850212240593,-0.016959251061202968,0.016959251061202968,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_MTORC1_SIGNALING,0.01653633548898004,0.8208522284798078,0.0362694300518134,0.9242474083806904,0.02640288277039672,-0.10648347819252599,0.0004186789710838217,0.0015589110625461448,0.0362694300518134,0.0713764541221697,0.12301981368150602,-0.044973571351772976,0.044973571351772976,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_MYC_TARGETS_V1,0.03819048695485873,0.6008791793774813,0.0075566750629722,0.7974495160641042,0.022873581008915466,-0.03536619061486924,0.24248871614416104,0.33793933706097523,0.0075566750629722,0.02146143283892072,0.07355667756972797,0.001412148169994746,0.001412148169994746,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_MYC_TARGETS_V2,0.14314747139828654,0.04880515900707038,0.0038910505836575,0.1713075065434419,0.07351926099097202,0.0799695874989689,0.0081386516501775,0.020305189962255474,0.0038910505836575,0.041930319041313203,0.06317788389931764,0.03158894194965881,0.03158894194965881,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_MYOGENESIS,0.15747109602262246,0.030020364783291623,0.0230179028132992,0.12475837244417882,0.09024449941796084,0.12160066037726593,5.521060899578805e-05,0.00026092622979901426,0.0230179028132992,0.07230928159528256,0.03587043564535654,0.017935217822678276,0.017935217822678276,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_NOTCH_SIGNALING,-0.040911811493155134,0.5751767769016859,0.0,0.7802785733162406,0.020455905746577567,0.026181585330199254,0.3869664432028191,0.48886529071030443,0.0,0.013090792665099627,-0.06709339682335438,0.00736511308147794,0.00736511308147794,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.2582592446703699,0.00032117659373742603,0.1142061281337047,0.004276536166612466,0.18623268640203733,0.3126739921588672,3.0802182359802805e-26,1.143414345174498e-24,0.1142061281337047,0.21344006014628597,-0.054414747488497284,-0.027207373744248642,0.027207373744248642,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_P53_PATHWAY,-0.07618975354949775,0.2961188844033626,0.0101010101010101,0.5430323853205377,0.043145381825253924,-0.12287103703347553,4.604496356331265e-05,0.0002220672455317244,0.0101010101010101,0.06648602356724281,0.04668128348397778,-0.02334064174198889,0.02334064174198889,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_PANCREAS_BETA_CELLS,0.1143152887914893,0.11630299968730767,0.0,0.30704994529515495,0.05715764439574465,-0.035063031553794234,0.24655248036994346,0.3420461930387098,0.0,0.017531515776897117,0.14937832034528353,0.03962612861884754,0.03962612861884754,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_PEROXISOME,0.10397301924622616,0.15341166881642374,0.0340136054421768,0.3627978654442453,0.06899331234420147,0.07121748681528066,0.018479625795393438,0.041234137703746745,0.0340136054421768,0.05261554612872873,0.032755532430945505,0.016377766215472746,0.016377766215472746,Basal,Strengthened
HALLMARK_ADIPOGENESIS,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0004412792711397412,0.9951788307810207,0.0,0.9984390398908685,0.0002206396355698706,-0.04271286907071565,0.15801296968187442,0.23984723820230167,0.0,0.021356434535357825,0.04315414834185539,-0.021135794899787955,0.021135794899787955,Basal,Weakened
HALLMARK_ADIPOGENESIS,HALLMARK_PROTEIN_SECRETION,5.584318143191536e-05,0.9993898851720255,0.0102389078498293,0.9995950630507103,0.005147375515630607,0.0036436121941382056,0.9041840787093275,0.9320409625105414,0.0102389078498293,0.006941260021983753,-0.00358776901270629,-0.001793884506353146,0.001793884506353146,Basal,Weakened
