pathway_a,pathway_b,partial_corr,p_value,jaccard,FDR,weight
HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,0.06585294636101746,0.029405678829142662,0.0025062656641604,0.060237385561370836,0.03417960601258893
HALLMARK_ADIPOGENESIS,HALLMARK_ANDROGEN_RESPONSE,-0.19214306151322336,1.476422395424957e-10,0.0066889632107023,1.790710331084725e-09,0.09941601236196283
HALLMARK_ADIPOGENESIS,HALLMARK_ANGIOGENESIS,0.06110453356830393,0.04331587305957398,0.0042553191489361,0.0834307303427329,0.032679926358620014
HALLMARK_ADIPOGENESIS,HALLMARK_APICAL_JUNCTION,-0.022807747183995725,0.4510791371990384,0.0050251256281407,0.5498228289242011,0.013916436406068213
HALLMARK_ADIPOGENESIS,HALLMARK_APICAL_SURFACE,0.00021203112494133696,0.9944108209199807,0.0041152263374485,0.9968520913477712,0.0021636287311949188
HALLMARK_ADIPOGENESIS,HALLMARK_APOPTOSIS,-0.1066090436545697,0.0004121096169762532,0.019774011299435,0.0015391289048655799,0.06319152747700235
HALLMARK_ADIPOGENESIS,HALLMARK_BILE_ACID_METABOLISM,-0.051013534321742195,0.09170413945842278,0.0297029702970297,0.15430985005023062,0.040358252309385945
HALLMARK_ADIPOGENESIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.20949195904422246,2.578525906340687e-12,0.0148148148148148,4.0496079939324895e-11,0.11215338692951864
HALLMARK_ADIPOGENESIS,HALLMARK_COAGULATION,0.028529766833462547,0.3458065885328978,0.0029673590504451,0.4477939439247355,0.015748562941953825
HALLMARK_ADIPOGENESIS,HALLMARK_COMPLEMENT,0.07307535892740777,0.015628134010204558,0.0101010101010101,0.03574847041820816,0.04158818451420893
HALLMARK_ADIPOGENESIS,HALLMARK_DNA_REPAIR,-0.07384564135335417,0.014564202835201812,0.0057471264367816,0.03376513920355502,0.039796383895067886
HALLMARK_ADIPOGENESIS,HALLMARK_E2F_TARGETS,0.05118019425402694,0.09064731391216681,0.0050251256281407,0.15337425351160822,0.028102659941083817
HALLMARK_ADIPOGENESIS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.16067724427569505,9.132767988630029e-08,0.0075566750629722,6.863583304338518e-07,0.08411695966933362
HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.01678327220369127,0.5792213575763151,0.0101010101010101,0.6653886742748115,0.013442141152350685
HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.04725773488807914,0.11824860474155703,0.0204081632653061,0.1893272376514712,0.03383294907669262
HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,0.2900227662701483,1.2069756443928542e-22,0.0881458966565349,3.890908327319069e-21,0.18908433146334158
HALLMARK_ADIPOGENESIS,HALLMARK_G2M_CHECKPOINT,-0.022731716468668384,0.4525898936007613,0.0025062656641604,0.5511159241162352,0.012618991066414393
HALLMARK_ADIPOGENESIS,HALLMARK_GLYCOLYSIS,-0.045820111415865825,0.12987528163395362,0.0256410256410256,0.20397079487383743,0.03573056852844571
HALLMARK_ADIPOGENESIS,HALLMARK_HEDGEHOG_SIGNALING,0.020016249438821233,0.5083812926697525,0.0,0.6041663389496491,0.010008124719410616
HALLMARK_ADIPOGENESIS,HALLMARK_HEME_METABOLISM,-0.052316674897135665,0.08369900213107069,0.0126582278481012,0.14502302349442941,0.03248745137261843
HALLMARK_ADIPOGENESIS,HALLMARK_HYPOXIA,0.11676113559143964,0.00010848565282674918,0.0282776349614395,0.0004780392975279415,0.07251938527643957
HALLMARK_ADIPOGENESIS,HALLMARK_IL2_STAT5_SIGNALING,-0.04830328528385554,0.11031715869004934,0.0178571428571428,0.17922880556407217,0.03308021407049917
HALLMARK_ADIPOGENESIS,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.11864338217111574,8.367453467321018e-05,0.0070175438596491,0.0003810457434003066,0.06283046301538242
HALLMARK_ADIPOGENESIS,HALLMARK_INFLAMMATORY_RESPONSE,-0.047688842409469995,0.114925772386437,0.0025062656641604,0.18499877946568374,0.025097554036815198
HALLMARK_ADIPOGENESIS,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.10259330738686333,0.0006777282448322423,0.0,0.002378845558508587,0.051296653693431664
HALLMARK_ADIPOGENESIS,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.10304147287398571,0.000641673726177813,0.0050251256281407,0.002271821718404107,0.054033299251063205
HALLMARK_ADIPOGENESIS,HALLMARK_KRAS_SIGNALING_DN,-0.11261020034396857,0.00018975653400037318,0.0,0.0007960676512001957,0.056305100171984285
HALLMARK_ADIPOGENESIS,HALLMARK_KRAS_SIGNALING_UP,0.04421306353590527,0.14390032325051302,0.0101010101010101,0.22201246345324743,0.027157036818457686
HALLMARK_ADIPOGENESIS,HALLMARK_MITOTIC_SPINDLE,0.0871042131994918,0.003936347765958201,0.0025125628140703,0.011059692691052286,0.04480838800678105
HALLMARK_ADIPOGENESIS,HALLMARK_MTORC1_SIGNALING,-0.10648347819252599,0.0004186789710838217,0.0362694300518134,0.0015589110625461448,0.0713764541221697
HALLMARK_ADIPOGENESIS,HALLMARK_MYC_TARGETS_V1,-0.03536619061486924,0.24248871614416104,0.0075566750629722,0.33793933706097523,0.02146143283892072
HALLMARK_ADIPOGENESIS,HALLMARK_MYC_TARGETS_V2,0.0799695874989689,0.0081386516501775,0.0038910505836575,0.020305189962255474,0.041930319041313203
HALLMARK_ADIPOGENESIS,HALLMARK_MYOGENESIS,0.12160066037726593,5.521060899578805e-05,0.0230179028132992,0.00026092622979901426,0.07230928159528256
HALLMARK_ADIPOGENESIS,HALLMARK_NOTCH_SIGNALING,0.026181585330199254,0.3869664432028191,0.0,0.48886529071030443,0.013090792665099627
HALLMARK_ADIPOGENESIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.3126739921588672,3.0802182359802805e-26,0.1142061281337047,1.143414345174498e-24,0.21344006014628597
HALLMARK_ADIPOGENESIS,HALLMARK_P53_PATHWAY,-0.12287103703347553,4.604496356331265e-05,0.0101010101010101,0.0002220672455317244,0.06648602356724281
HALLMARK_ADIPOGENESIS,HALLMARK_PANCREAS_BETA_CELLS,-0.035063031553794234,0.24655248036994346,0.0,0.3420461930387098,0.017531515776897117
HALLMARK_ADIPOGENESIS,HALLMARK_PEROXISOME,0.07121748681528066,0.018479625795393438,0.0340136054421768,0.041234137703746745,0.05261554612872873
HALLMARK_ADIPOGENESIS,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.04271286907071565,0.15801296968187442,0.0,0.23984723820230167,0.021356434535357825
HALLMARK_ADIPOGENESIS,HALLMARK_PROTEIN_SECRETION,0.0036436121941382056,0.9041840787093275,0.0102389078498293,0.9320409625105414,0.006941260021983753
HALLMARK_ADIPOGENESIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.30792659606087647,1.854263275328281e-25,0.0163265306122449,6.489921463648983e-24,0.16212656333656067
HALLMARK_ADIPOGENESIS,HALLMARK_SPERMATOGENESIS,-0.08841744618367282,0.003424063647140018,0.006006006006006,0.009731967442567336,0.04721172609483941
HALLMARK_ADIPOGENESIS,HALLMARK_TGF_BETA_SIGNALING,-0.020916786732136435,0.48948921797518335,0.0,0.5861430029517103,0.010458393366068217
HALLMARK_ADIPOGENESIS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.061305106064968896,0.04263210115720558,0.015228426395939,0.08224302979145959,0.03826676623045395
HALLMARK_ADIPOGENESIS,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.0726357789885288,0.01626540567992385,0.0096774193548387,0.036904293904814416,0.04115659917168375
HALLMARK_ADIPOGENESIS,HALLMARK_UV_RESPONSE_DN,0.20517837790984186,7.29894392687879e-12,0.0087976539589442,1.0277248632674159e-10,0.10698801593439303
HALLMARK_ADIPOGENESIS,HALLMARK_UV_RESPONSE_UP,0.19060286068602678,2.0780208941814909e-10,0.0170454545454545,2.379042612497501e-09,0.10382415761574064
HALLMARK_ADIPOGENESIS,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.006513967506612575,0.8296037335793474,0.0,0.8753355500729547,0.0032569837533062873
HALLMARK_ADIPOGENESIS,HALLMARK_XENOBIOTIC_METABOLISM,0.1662509965327261,3.1820745529416396e-08,0.0416666666666666,2.581484322750668e-07,0.10395883159969635
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,-0.051767035314323535,0.08700368793985566,0.0134680134680134,0.1479670790585236,0.03261752439116847
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANGIOGENESIS,-0.1443031124444853,1.64657962692698e-06,0.0128755364806866,1.0451088305624613e-05,0.07858932446258594
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_APICAL_JUNCTION,-0.05774063125957064,0.05623374050325094,0.0178117048346055,0.10220524052890563,0.03777616804708807
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_APICAL_SURFACE,0.06853303743833501,0.02339936629941627,0.0209205020920502,0.05020004153552528,0.0447267697651926
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_APOPTOSIS,0.0440976730673324,0.1449503421041588,0.0524781341107871,0.22307056416783233,0.04828790358905975
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_BILE_ACID_METABOLISM,0.012019302070804296,0.6912890387392899,0.0032154340836012,0.7615369356615379,0.007617368077202748
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04235188996295063,0.16156008157022705,0.0,0.24373288167922186,0.021175944981475316
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_COAGULATION,-0.1981309534999154,3.8051919424491044e-11,0.0180722891566265,4.958893754787396e-10,0.10810162132827096
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_COMPLEMENT,0.25721988697793896,5.43545369210238e-18,0.0389610389610389,1.358863423025595e-16,0.14809046296948894
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_DNA_REPAIR,0.05792772409674777,0.05543940587237588,0.0057471264367816,0.10136309282635887,0.03183742526676468
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_E2F_TARGETS,-0.05201300480444855,0.08551202993593339,0.0075566750629722,0.14623312474132824,0.029784839933710377
