"patient_id","HALLMARK_HYPOXIA","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_P53_PATHWAY","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN"
"TCGA-3C-AAAU",-0.691847388611226,-0.274995542924213,-1.06002460783628,-0.505683135153176,-0.521533131032009,-1.16354337995494,-1.04396644927443,0.458344776743184,0.098744569783446,-0.617587828762814,-0.952721988700233,-1.04756590208983
"TCGA-3C-AALI",0.333599695597076,-0.330360973993143,-0.462529866200878,-0.336339264025072,0.0724342996600738,0.1509490293247,0.0157588880920841,-1.77738252720577,-1.51115398190006,-0.790004696146634,-0.358932616601104,0.598525087272173
"TCGA-3C-AALJ",-0.41141694286568,-0.175527935236207,-0.484201423257768,-0.0351294134691356,-0.172950717148308,-0.66787814838735,-0.781470028154932,-0.020338227349133,0.0210201287391046,-1.32354169288891,0.192393479550056,-0.657247274525219
"TCGA-3C-AALK",-0.126880137428924,0.437601480852389,0.499875666118094,1.01165576516523,0.187021602113537,-0.620414434431298,-0.779415558994685,1.17888114743733,1.25662804284988,0.324916945946415,0.37205747601014,0.78897772706857
"TCGA-4H-AAAK",0.733766911658567,1.0085862205851,-0.104760653406551,0.535501051308397,-0.431174739403488,-0.0206375757967315,0.0776178164658299,0.690569443919283,0.431520215886945,0.0469935959177883,0.136479801412676,0.528443411685111
"TCGA-5L-AAT0",-0.556630120255387,0.583010217950852,-0.376061787828719,0.226559910995675,-0.845166786435329,-0.382096434566751,-0.475215154856247,-0.00347026360425463,-0.150405213545243,-0.418802283739661,0.109475550953958,0.261457038470743
"TCGA-5L-AAT1",-0.142884187378198,-0.0315622725957806,0.567209263688655,1.06767322673135,-0.288043602319217,0.968009757795927,0.854276675808204,-0.898061169669269,-1.12428320532075,0.0343497114651817,0.193006904149262,0.187139801020254
"TCGA-5T-A9QA",-0.826662038915712,-1.54999673078472,-1.54622227129442,-0.365509779324693,-0.47813072940449,-0.54835963455339,-0.0542611219570534,0.100377443482895,0.0728957031804383,-0.398838320369561,-1.6121269563581,-1.44091998961852
"TCGA-A1-A0SB",0.040242073037264,0.983466525020488,-0.569078564677458,0.886897891879363,-0.422474634543664,-1.83161656691734,-1.85102733383823,-0.780788059846618,-0.823296158279514,0.25945793089235,-0.389763516471044,0.860422916665937
"TCGA-A1-A0SD",0.697227582106981,1.43126136276045,0.770616938569632,1.10254855010005,0.124391568146605,1.10390467790299,1.21314993598295,0.797154570804263,0.60501682325451,1.26817701106553,0.753276711863895,1.00550882098446
"TCGA-A1-A0SE",-0.0568078027635291,0.793691813445542,-0.729181882183134,0.209746886458332,-0.268364208545662,-0.949629784500543,-0.948572177719114,1.60368581967958,1.65395944528661,1.08172006590398,-0.437668749727846,0.654263700735471
"TCGA-A1-A0SF",-0.638473242413757,-0.48339017611021,-0.82969054065761,-0.202763527165771,-0.440384392539712,-0.84163067553182,-0.921021104774522,0.813443942984437,0.697650462004516,0.247821524046115,-0.412011462348851,0.435344828915787
"TCGA-A1-A0SG",-0.0515294209749882,0.196146839166959,-0.775048766855791,0.882939629625302,0.0252180285207586,-0.50871257052265,-0.48552181883323,1.32890871639192,1.26021946332695,0.080677207333441,-0.714622247208455,0.274586665828555
"TCGA-A1-A0SH",0.255407017079645,1.48778392318856,-0.40467296619859,0.364828141570643,0.257728445532435,-0.859606626216478,-1.03791508268685,0.21457394761548,0.019424592437168,1.17089174089012,0.39065188941015,0.00603188658823127
"TCGA-A1-A0SI",1.07780375742588,1.06133170628589,0.930806258464994,1.20368500406417,0.904200758744373,1.23300916189428,1.18205304806007,-0.711666768820731,-0.461170335332458,0.894352846103352,0.6192000526599,0.444363846441777
"TCGA-A1-A0SJ",0.894525583307365,0.843954879730278,-0.122915644755108,0.795612459919423,0.133732093179552,-0.606286321552523,-0.664920557911969,1.34148810847627,1.64274956791137,1.14982438860202,0.344259399872223,0.666535971163904
"TCGA-A1-A0SK",0.918782272297757,0.245748345858802,-0.745120973129764,0.151008943474622,0.601476777561521,-1.86384104228699,-1.86120078007782,-0.993526100572982,-0.758730417491383,-0.642868899371282,-0.368166909752125,0.260816274651726
"TCGA-A1-A0SM",0.695602941955377,1.03431782618785,0.41688372170734,1.13963414049311,0.653960058169581,-0.698274550840708,-0.81151802238923,0.839129208300747,1.03267436158653,1.85684024724877,0.959003016346168,0.882175301089405
"TCGA-A1-A0SN",0.0471819946747232,0.97216631765138,0.290859454472647,1.08044359814861,1.12615415593867,0.128702762078564,-0.219466499082445,0.832130068109622,1.06836282749899,1.02208098398809,0.700259662681797,0.257367612197388
"TCGA-A1-A0SO",-1.15327798967955,-0.636646980672533,-1.11830290215434,-1.24904761827167,0.524791466781157,-1.18191397508531,-1.2068568516663,-1.83932038529616,-1.80064018755886,-0.813942009720205,-0.59660845059653,-0.149190714138415
"TCGA-A1-A0SP",0.519295212252049,0.385407484007639,0.942565133645886,-0.182434292240035,0.84696125091973,-0.418585974367537,-0.626525714580968,-0.915381542638121,-0.375149823224534,-0.00762593458474842,0.882921418617638,0.43167700846873
"TCGA-A1-A0SQ",0.0211790513193178,-0.654070867788386,-0.885216398939611,-0.317822368558445,0.392861235547642,-1.05367372312478,-0.998545629459241,1.32983297968606,1.25499224222724,1.26659579132589,-0.671691246998703,-0.636309214579299
"TCGA-A2-A04N",-0.00770925088590659,0.342379718555909,-0.35169295792883,0.348595487769202,-0.851436061814633,-1.0437844598573,-1.09325581944701,0.996483508133043,0.608520427755957,-0.357946626088475,-0.49533711599744,-0.588585851676459
"TCGA-A2-A04P",-0.772138260898428,-1.75955968474086,0.519829794871389,-2.08856030045327,-0.565222343838205,-0.141869006131887,-0.180913186754467,-2.0814454927939,-1.65202706410887,-2.35139461019316,-0.590423494375724,-0.102524989540856
"TCGA-A2-A04Q",-0.88015975527667,-0.857457366430978,0.783685804469434,-0.829376482324553,0.1632935468258,1.05384426434687,0.84329119916686,-1.50696451573804,-1.36349024982746,-1.27313644936322,0.558247072200609,0.203227253631573
"TCGA-A2-A04R",-0.30061008800102,0.271328704794452,-0.840953175234157,-0.212463020801923,0.093619889941222,-0.979426879978484,-0.79749856228411,1.35477266227784,1.53403698847437,0.102423781205434,-0.782938137751212,-0.20010831185969
"TCGA-A2-A04T",-0.491856628772391,-0.371161271949933,-0.249710561643214,-0.649442217819081,0.65557432919705,-0.329775788799251,-0.641405538922425,-1.68561799803083,-1.44951099650154,-1.241698524961,0.0316136415114767,0.882438006633538
"TCGA-A2-A04U",-0.524775150991202,-0.92763777560823,-1.10653254926295,-0.970330736028756,-0.0440892292288766,-1.43217466409544,-1.37549229944839,-1.58689516322781,-1.59846815019488,-1.3124823889407,-0.128767974987383,0.254894320145865
"TCGA-A2-A04V",-0.69631382181906,-0.259490716829259,-0.485760731345549,-1.32101309207355,-0.656345287246493,-0.993105700070458,-0.940624576770608,0.0257510106198756,0.159093735226233,-1.26101992481691,-0.5520264587854,-0.858908055905989
"TCGA-A2-A04W",0.71111472731175,0.154805706838932,0.198344993699478,0.248502153110887,0.465744053876543,-1.22555545256803,-1.30384274116171,-0.473098623407474,-0.0727232398010366,0.257422101354807,0.185861736610277,0.16030667915276
"TCGA-A2-A04X",-1.2407682580706,-1.46145196818838,-0.295591511395645,0.282239473979442,0.205212431503657,1.44657126996095,1.51878725836001,-0.91132154186004,-0.626650717444776,-0.405127937051547,-0.507443602269686,-0.334555380860478
"TCGA-A2-A04Y",-1.31465814338979,-1.39982734688414,0.0101890448643048,-0.346901212752363,-0.736049762756698,0.297376366333189,0.415585961550782,0.0335320745154295,0.0721050455422877,-1.34415357621074,-0.456133729421342,-0.531167920431983
"TCGA-A2-A0CK",-0.192217034933352,0.0636369687957854,0.251191533515739,0.569693010241296,-1.23963021175977,-0.740427256046265,-0.774711563266583,0.00493501080094404,0.0474068436366788,-1.16986667287456,-0.256316097855154,0.507520583668269
"TCGA-A2-A0CL",0.144567558592963,0.927812913190202,1.61687813747587,0.449856347244488,0.694777853295564,2.16649071464906,2.04999638173035,-0.416263339718161,-0.515449783686459,-0.123098598985296,1.44378295739154,0.493587382196408
"TCGA-A2-A0CM",0.260022420300979,0.61090013663078,1.64204519176483,0.290657312014271,0.732041106464139,1.66177871481014,1.54637251882087,-1.39812144253937,-1.27281640005412,-0.497841775664034,1.10452771555241,0.676056045934505
"TCGA-A2-A0CO",0.91506422228487,0.683391593814093,2.18078999081348,1.23401791239567,-0.586833218300403,1.24181029034231,1.07982089646641,0.450480524680747,0.192043279249382,-0.175672018576303,1.37448265758813,1.51950327962297
"TCGA-A2-A0CP",0.405087750269293,-0.115490850929958,-0.16163329460856,0.452933679895641,-1.01252371994712,-0.94144011215075,-0.957614489025604,0.579554026083008,0.391329074736094,-0.798808258069854,-0.318573310443584,0.278451883366737
"TCGA-A2-A0CQ",-1.02972770832843,-1.33253656314547,-0.0302777095421266,-0.451665061967899,-1.2579602886005,-0.603240440635278,-0.468560645634475,0.327521212399041,0.0935650022090335,-1.28716831300571,-0.781616984853364,-0.754088511227146
"TCGA-A2-A0CR",-0.513619316917533,-0.592367332883013,0.887587188917839,0.448090421437379,-1.01950890082176,0.632433903353096,0.516105062414825,-0.175782580481788,0.017372223639601,-1.45885092164135,0.481699876445443,0.83902070649263
"TCGA-A2-A0CS",0.146639641707348,0.0874219245821543,-0.121781391826474,0.354569248000028,-0.287472658298822,0.146865553874285,0.362279928544717,0.79091854586816,0.826476809759475,0.726500496271223,-0.375075462600265,-0.340632332857072
