"gene_symbol"
"TARP"
"VEGFA"
"GPX1"
"SLC67A1"
"MDH1"
"MIX23"
"XIST"
"AMD1"
"PTTG3P"
"CROCCP2"
"HBBP1"
"OPRK1"
"TMT1B"
"LDHB"
"H2AC25"
"PVT1"
"MAPK10"
"SPMAP2"
"SKIC3"
"ACP2"
