"missing_gene"
"ACADL"
"ADIG"
"BCKDHA"
"DDT"
"MRAP"
"CARTPT"
"CFP"
"ELANE"
"EREG"
"F2"
"ICOSLG"
"IL10"
"IL12B"
"IL13"
"IL2"
"IL4"
"IL9"
"KLRD1"
"KRT1"
"MBL2"
"NCR1"
"PF4"
"PRKCG"
"RPL3L"
"HERC3"
"KLK2"
"KLK3"
"TARP"
"APOH"
"CXCL6"
"PGLYRP1"
"PRG2"
"VTN"
"ACTC1"
"ACTN2"
"ACTN3"
"ATP1A3"
"CDH15"
"CDH4"
"CDH8"
"CDSN"
"CLDN18"
"CLDN19"
"CLDN6"
"COL9A1"
"DMP1"
"DSC1"
"ICAM4"
"ICAM5"
"MADCAM1"
"NHERF4"
"NRAP"
"PALS1"
"RHOF"
"SLC30A3"
"CD160"
"NTNG1"
"PCSK9"
"PKHD1"
"SLC22A12"
"SLC34A3"
"DIABLO"
"IFNB1"
"IL1A"
"PSEN2"
"ABCG4"
"ABCG8"
"AGXT"
"AKR1D1"
"APOA1"
"CYP46A1"
"CYP7A1"
"CYP8B1"
"GC"
"HAO1"
"HSD3B1"
"KLF1"
"NR0B2"
"NR1H4"
"NR1I2"
"PAOX"
"RXRG"
"SLC67A1"
"SLCO1A2"
"SOAT2"
"SULT1B1"
"TTR"
"ADH4"
"ANXA13"
"CBS"
"APOC2"
"APOC3"
"C8A"
"C8B"
"C9"
"CPB2"
"CPN1"
"CTSE"
"DCT"
"F11"
"F13B"
"F9"
"FGA"
"FGG"
"GDA"
"GP9"
"HNF4A"
"HRG"
"ITIH1"
"KLKB1"
"MEP1A"
"MMP8"
"PLG"
"PROZ"
"SERPINB2"
"SERPINC1"
"APOA4"
"CASP5"
"CR1"
"DGKG"
"HPCAL4"
"MT3"
"PRSS3"
"S100A12"
"SCG3"
"BOLA2"
"SUPT4H1"
"RNASEH2A"
"BDNF"
"CALCR"
"EEIG1"
"KRT13"
"NHERF1"
"SOX3"
"TH"
"ADH7"
"ALDH3A1"
"CA4"
"CA6"
"CYP1A1"
"CYP4A11"
"CYP4A22"
"FABP1"
"FABP2"
"GAD2"
"GAPDHS"
"HAO2"
"MIF"
"MIX23"
"NUSAP1"
"PRC1"
"PRP4K"
"PTTG3P"
"ABCB6"
"ALDOB"
"B3GAT1"
"CHST4"
"FBP2"
"GAL3ST1"
"GPR87"
"GYS2"
"LCT"
"LHX9"
"MIOX"
"NDST3"
"PGAM2"
"TKTL1"
"SHH"
"SLIT1"
"ACSL6"
"AHSP"
"ALAS2"
"ALDH1L1"
"ANK1"
"ARL2BP"
"ASNS"
"CA1"
"EPB42"
"FTCD"
"GATA1"
"GYPA"
"GYPB"
"GYPE"
"HBBP1"
"HBD"
"HBQ1"
"HBZ"
"MYL4"
"RHAG"
"RHD"
"SLC30A10"
"SLC4A1"
"SPTA1"
"SPTB"
"TRIM10"
"TSPO2"
"TYR"
