gene_symbol,string_id
AKT2,9606.ENSP00000375892
AKT3,9606.ENSP00000500582
ALAD,9606.ENSP00000386284
ALAS1,9606.ENSP00000378416
ALB,9606.ENSP00000295897
ALCAM,9606.ENSP00000305988
ALDH18A1,9606.ENSP00000360268
ALDH1A1,9606.ENSP00000297785
ALDH1A2,9606.ENSP00000249750
ALDH1A3,9606.ENSP00000332256
ALDH2,9606.ENSP00000261733
ALDH3A2,9606.ENSP00000345774
ALDH3B1,9606.ENSP00000473990
ALDH6A1,9606.ENSP00000450436
ALDH7A1,9606.ENSP00000387123
ALDH8A1,9606.ENSP00000265605
ALDH9A1,9606.ENSP00000346827
ALDOA,9606.ENSP00000496166
ALDOC,9606.ENSP00000378731
ALG1,9606.ENSP00000262374
ALMS1,9606.ENSP00000482968
ALOX15,9606.ENSP00000293761
ALOX15B,9606.ENSP00000369530
ALS2,9606.ENSP00000264276
ALYREF,9606.ENSP00000421592
AMACR,9606.ENSP00000371517
AMFR,9606.ENSP00000290649
AMH,9606.ENSP00000221496
AMIGO1,9606.ENSP00000358880
AMIGO2,9606.ENSP00000266581
AMMECR1,9606.ENSP00000262844
AMOT,9606.ENSP00000361027
AMPD3,9606.ENSP00000379802
AMPH,9606.ENSP00000348602
ANG,9606.ENSP00000336762
ANGPT1,9606.ENSP00000428340
ANGPTL4,9606.ENSP00000301455
ANKH,9606.ENSP00000284268
ANKRA2,9606.ENSP00000296785
ANKZF1,9606.ENSP00000321617
ANLN,9606.ENSP00000265748
ANO1,9606.ENSP00000347454
ANP32E,9606.ENSP00000463154
ANPEP,9606.ENSP00000300060
ANTXR2,9606.ENSP00000306185
ANXA1,9606.ENSP00000366109
ANXA2,9606.ENSP00000346032
ANXA4,9606.ENSP00000377833
ANXA5,9606.ENSP00000296511
ANXA9,9606.ENSP00000357943
AOC3,9606.ENSP00000312326
AOX1,9606.ENSP00000363832
AP1G1,9606.ENSP00000377148
AP2B1,9606.ENSP00000483185
AP2M1,9606.ENSP00000403362
AP2S1,9606.ENSP00000470176
AP3B1,9606.ENSP00000255194
AP3S1,9606.ENSP00000325369
AP4B1,9606.ENSP00000358582
APAF1,9606.ENSP00000448165
APBB1,9606.ENSP00000477213
APBB2,9606.ENSP00000427211
APC,9606.ENSP00000257430
APEX1,9606.ENSP00000216714
APH1A,9606.ENSP00000358105
APLNR,9606.ENSP00000475344
APLP1,9606.ENSP00000221891
APLP2,9606.ENSP00000497691
APOBEC3F,9606.ENSP00000309749
APOBEC3G,9606.ENSP00000385057
APOC1,9606.ENSP00000465356
APOD,9606.ENSP00000345179
APOE,9606.ENSP00000252486
APOL6,9606.ENSP00000386280
APOM,9606.ENSP00000365081
APP,9606.ENSP00000284981
APPBP2,9606.ENSP00000083182
APRT,9606.ENSP00000367615
AQP3,9606.ENSP00000297991
AQP7,9606.ENSP00000297988
AQP9,9606.ENSP00000219919
AR,9606.ENSP00000363822
ARAF,9606.ENSP00000290277
ARAP3,9606.ENSP00000239440
ARCN1,9606.ENSP00000264028
AREG,9606.ENSP00000379097
ARF1,9606.ENSP00000440005
ARF4,9606.ENSP00000306010
ARF6,9606.ENSP00000298316
ARFGAP1,9606.ENSP00000314615
ARFGAP3,9606.ENSP00000263245
ARFGEF1,9606.ENSP00000262215
ARFGEF2,9606.ENSP00000360985
ARFIP1,9606.ENSP00000296557
ARFIP2,9606.ENSP00000484121
ARG2,9606.ENSP00000261783
ARHGAP10,9606.ENSP00000336923
ARHGAP27,9606.ENSP00000403323
ARHGAP29,9606.ENSP00000260526
ARHGAP4,9606.ENSP00000359045
ARHGAP5,9606.ENSP00000371897
ARHGDIA,9606.ENSP00000463939
ARHGDIG,9606.ENSP00000219409
ARHGEF11,9606.ENSP00000357177
ARHGEF12,9606.ENSP00000380942
ARHGEF2,9606.ENSP00000354837
ARHGEF3,9606.ENSP00000341071
ARHGEF6,9606.ENSP00000250617
ARHGEF7,9606.ENSP00000495631
ARHGEF9,9606.ENSP00000490940
ARID4A,9606.ENSP00000347602
ARID4B,9606.ENSP00000264183
ARID5B,9606.ENSP00000279873
ARL3,9606.ENSP00000260746
ARL4A,9606.ENSP00000379898
ARL6IP1,9606.ENSP00000306788
ARL8A,9606.ENSP00000272217
ARPC2,9606.ENSP00000295685
ARPC3,9606.ENSP00000228825
ARPC5L,9606.ENSP00000345361
ARPP19,9606.ENSP00000454341
ARRB1,9606.ENSP00000409581
ARRB2,9606.ENSP00000403701
ARTN,9606.ENSP00000387435
ASB13,9606.ENSP00000350331
ASB7,9606.ENSP00000328327
ASCL1,9606.ENSP00000266744
ASF1A,9606.ENSP00000229595
ASF1B,9606.ENSP00000263382
ASL,9606.ENSP00000307188
ASS1,9606.ENSP00000361471
ATAD2,9606.ENSP00000287394
ATF1,9606.ENSP00000262053
ATF3,9606.ENSP00000344352
ATF4,9606.ENSP00000336790
ATF5,9606.ENSP00000396954
ATF6,9606.ENSP00000356919
ATG10,9606.ENSP00000282185
ATG4A,9606.ENSP00000361306
ATG4B,9606.ENSP00000384259
ATL2,9606.ENSP00000368237
ATOH8,9606.ENSP00000304676
ATOX1,9606.ENSP00000430598
ATP1A1,9606.ENSP00000445306
ATP1B1,9606.ENSP00000356790
ATP1B3,9606.ENSP00000286371
ATP2A1,9606.ENSP00000349595
ATP2A2,9606.ENSP00000440045
ATP2B1,9606.ENSP00000392043
ATP2B4,9606.ENSP00000350310
ATP2C1,9606.ENSP00000421326
ATP5F1A,9606.ENSP00000381736
ATP5F1B,9606.ENSP00000262030
ATP5F1C,9606.ENSP00000349142
ATP5F1D,9606.ENSP00000215375
ATP5F1E,9606.ENSP00000243997
ATP5MC1,9606.ENSP00000377033
ATP5MC2,9606.ENSP00000499883
ATP5MC3,9606.ENSP00000284727
ATP5ME,9606.ENSP00000306003
ATP5MF,9606.ENSP00000292475
ATP5MG,9606.ENSP00000300688
ATP5PB,9606.ENSP00000358737
ATP5PD,9606.ENSP00000301587
ATP5PF,9606.ENSP00000389649
ATP5PO,9606.ENSP00000290299
ATP6AP1,9606.ENSP00000358777
ATP6V0A1,9606.ENSP00000264649
ATP6V0A4,9606.ENSP00000308122
ATP6V0B,9606.ENSP00000434729
ATP6V0D1,9606.ENSP00000290949
ATP6V0E1,9606.ENSP00000429690
ATP6V1B1,9606.ENSP00000234396
ATP6V1C1,9606.ENSP00000430282
ATP6V1D,9606.ENSP00000216442
ATP6V1E1,9606.ENSP00000253413
ATP6V1F,9606.ENSP00000417378
ATP6V1G1,9606.ENSP00000363162
ATP6V1H,9606.ENSP00000352522
ATP7A,9606.ENSP00000345728
ATP8B1,9606.ENSP00000497896
ATRN,9606.ENSP00000262919
ATRX,9606.ENSP00000362441
ATXN1,9606.ENSP00000244769
ATXN2,9606.ENSP00000446576
AUH,9606.ENSP00000364883
AURKA,9606.ENSP00000216911
AURKB,9606.ENSP00000313950
AUTS2,9606.ENSP00000344087
AVL9,9606.ENSP00000315568
AVPR1A,9606.ENSP00000299178
AXIN1,9606.ENSP00000262320
AXIN2,9606.ENSP00000302625
