"interaction","name","ScoreAverage","selected","shared interaction","shared name"
"pp","VPU (pp) Q9UBB4","0.808","false","pp","VPU (pp) Q9UBB4"
"pp","VPU (pp) 9629366","0.807","false","pp","VPU (pp) 9629366"
"pp","VPU (pp) O95197","0.824","false","pp","VPU (pp) O95197"
"pp","VPU (pp) Q9NQC3","0.814","false","pp","VPU (pp) Q9NQC3"
"pp","VPU (pp) Q9UHQ9","0.84","false","pp","VPU (pp) Q9UHQ9"
"pp","VPU (pp) P55084","0.832","false","pp","VPU (pp) P55084"
"pp","VPU (pp) P63208","0.847","false","pp","VPU (pp) P63208"
"pp","VPU (pp) Q86T03","0.841","false","pp","VPU (pp) Q86T03"
"pp","VPU (pp) Q9NVI7","0.857","false","pp","VPU (pp) Q9NVI7"
"pp","VPU (pp) Q13616","0.856","false","pp","VPU (pp) Q13616"
"pp","VPU (pp) P40939","0.877","false","pp","VPU (pp) P40939"
"pp","VPU (pp) Q96P70","0.858","false","pp","VPU (pp) Q96P70"
"pp","VPU (pp) Q9UKB1","0.899","false","pp","VPU (pp) Q9UKB1"
"pp","VPU (pp) O14828","0.891","false","pp","VPU (pp) O14828"
"pp","VPU (pp) P42704","0.945","false","pp","VPU (pp) P42704"
"pp","VPU (pp) Q9GZT3","0.923","false","pp","VPU (pp) Q9GZT3"
"pp","VPR (pp) Q92905","0.376","false","pp","VPR (pp) Q92905"
"pp","VPR (pp) Q9NX00","0.376","false","pp","VPR (pp) Q9NX00"
"pp","VPR (pp) O75386","0.381","false","pp","VPR (pp) O75386"
"pp","VPR (pp) Q9NRK6","0.377","false","pp","VPR (pp) Q9NRK6"
"pp","VPR (pp) P13051","0.383","false","pp","VPR (pp) P13051"
"pp","VPR (pp) Q9H840","0.381","false","pp","VPR (pp) Q9H840"
"pp","VPR (pp) P57678","0.384","false","pp","VPR (pp) P57678"
"pp","VPR (pp) Q96PU5","0.384","false","pp","VPR (pp) Q96PU5"
"pp","VPR (pp) P61289","0.388","false","pp","VPR (pp) P61289"
"pp","VPR (pp) P17152","0.384","false","pp","VPR (pp) P17152"
"pp","VPR (pp) Q9UHI6","0.389","false","pp","VPR (pp) Q9UHI6"
"pp","VPR (pp) Q96A33","0.389","false","pp","VPR (pp) Q96A33"
"pp","VPR (pp) Q6ZPD9","0.396","false","pp","VPR (pp) Q6ZPD9"
"pp","VPR (pp) P28288","0.391","false","pp","VPR (pp) P28288"
"pp","VPR (pp) Q13619","0.402","false","pp","VPR (pp) Q13619"
"pp","VPR (pp) Q5T8D3","0.401","false","pp","VPR (pp) Q5T8D3"
"pp","VPR (pp) Q99627","0.405","false","pp","VPR (pp) Q99627"
"pp","VPR (pp) Q13098","0.405","false","pp","VPR (pp) Q13098"
"pp","VPR (pp) P61201","0.411","false","pp","VPR (pp) P61201"
"pp","VPR (pp) Q9Y6C9","0.408","false","pp","VPR (pp) Q9Y6C9"
"pp","VPR (pp) O14893","0.412","false","pp","VPR (pp) O14893"
"pp","VPR (pp) Q8TEB1","0.411","false","pp","VPR (pp) Q8TEB1"
"pp","VPR (pp) Q7L5N1","0.419","false","pp","VPR (pp) Q7L5N1"
"pp","VPR (pp) Q9UNS2","0.414","false","pp","VPR (pp) Q9UNS2"
"pp","VPR (pp) Q5TAQ9","0.421","false","pp","VPR (pp) Q5TAQ9"
"pp","VPR (pp) Q9BT78","0.421","false","pp","VPR (pp) Q9BT78"
"pp","VPR (pp) Q8WXD5","0.422","false","pp","VPR (pp) Q8WXD5"
"pp","VPR (pp) O00116","0.421","false","pp","VPR (pp) O00116"
"pp","VPR (pp) Q16637","0.423","false","pp","VPR (pp) Q16637"
"pp","VPR (pp) Q2PZI1","0.422","false","pp","VPR (pp) Q2PZI1"
"pp","VPR (pp) Q8IZ07","0.429","false","pp","VPR (pp) Q8IZ07"
"pp","VPR (pp) O00217","0.428","false","pp","VPR (pp) O00217"
"pp","VPR (pp) P43243","0.467","false","pp","VPR (pp) P43243"
"pp","VPR (pp) Q13724","0.442","false","pp","VPR (pp) Q13724"
"pp","VPR (pp) O14929","0.753","false","pp","VPR (pp) O14929"
"pp","VPR (pp) P21964","0.51","false","pp","VPR (pp) P21964"
"pp","VPR (pp) O75179","0.811","false","pp","VPR (pp) O75179"
"pp","VPR (pp) Q5SW79","0.782","false","pp","VPR (pp) Q5SW79"
"pp","VPR (pp) Q13409","0.815","false","pp","VPR (pp) Q13409"
"pp","VPR (pp) Q9Y6G9","0.813","false","pp","VPR (pp) Q9Y6G9"
"pp","VPR (pp) Q16531","0.82","false","pp","VPR (pp) Q16531"
"pp","VPR (pp) Q9H4A6","0.817","false","pp","VPR (pp) Q9H4A6"
"pp","VPR (pp) Q16576","0.842","false","pp","VPR (pp) Q16576"
"pp","VPR (pp) Q8IWZ3","0.825","false","pp","VPR (pp) Q8IWZ3"
"pp","VPR (pp) Q9BW61","0.863","false","pp","VPR (pp) Q9BW61"
"pp","VPR (pp) Q14204","0.858","false","pp","VPR (pp) Q14204"
"pp","VPR (pp) Q9Y4B6","0.921","false","pp","VPR (pp) Q9Y4B6"
"pp","VPR (pp) 28872817","0.878","false","pp","VPR (pp) 28872817"
"pp","GP41 (pp) Q99442","0.376","false","pp","GP41 (pp) Q99442"
"pp","GP41 (pp) O15258","0.376","false","pp","GP41 (pp) O15258"
"pp","GP41 (pp) Q92896","0.381","false","pp","GP41 (pp) Q92896"
"pp","GP41 (pp) Q96IV0","0.378","false","pp","GP41 (pp) Q96IV0"
"pp","GP41 (pp) Q96AJ9","0.384","false","pp","GP41 (pp) Q96AJ9"
"pp","GP41 (pp) O96008","0.381","false","pp","GP41 (pp) O96008"
"pp","GP41 (pp) P20674","0.387","false","pp","GP41 (pp) P20674"
"pp","GP41 (pp) Q9NRD1","0.386","false","pp","GP41 (pp) Q9NRD1"
"pp","GP41 (pp) O96000","0.388","false","pp","GP41 (pp) O96000"
"pp","GP41 (pp) Q6DD88","0.387","false","pp","GP41 (pp) Q6DD88"
"pp","GP41 (pp) Q15005","0.389","false","pp","GP41 (pp) Q15005"
"pp","GP41 (pp) Q8IYS2","0.389","false","pp","GP41 (pp) Q8IYS2"
"pp","GP41 (pp) P51572","0.394","false","pp","GP41 (pp) P51572"
"pp","GP41 (pp) Q8NBS9","0.39","false","pp","GP41 (pp) Q8NBS9"
"pp","GP41 (pp) Q13162","0.395","false","pp","GP41 (pp) Q13162"
"pp","GP41 (pp) Q9Y3P9","0.395","false","pp","GP41 (pp) Q9Y3P9"
"pp","GP41 (pp) P08134","0.403","false","pp","GP41 (pp) P08134"
"pp","GP41 (pp) Q8N4V1","0.399","false","pp","GP41 (pp) Q8N4V1"
"pp","GP41 (pp) Q8N766","0.404","false","pp","GP41 (pp) Q8N766"
"pp","GP41 (pp) O15162","0.403","false","pp","GP41 (pp) O15162"
"pp","GP41 (pp) P48426","0.405","false","pp","GP41 (pp) P48426"
"pp","GP41 (pp) Q9NVV0","0.405","false","pp","GP41 (pp) Q9NVV0"
"pp","GP41 (pp) O15260","0.41","false","pp","GP41 (pp) O15260"
"pp","GP41 (pp) Q9Y5J9","0.407","false","pp","GP41 (pp) Q9Y5J9"
"pp","GP41 (pp) Q9P0L0","0.422","false","pp","GP41 (pp) Q9P0L0"
"pp","GP41 (pp) P61009","0.416","false","pp","GP41 (pp) P61009"
"pp","GP41 (pp) Q07065","0.428","false","pp","GP41 (pp) Q07065"
"pp","GP41 (pp) P14854","0.425","false","pp","GP41 (pp) P14854"
"pp","GP41 (pp) O60220","0.431","false","pp","GP41 (pp) O60220"
"pp","GP41 (pp) Q12907","0.43","false","pp","GP41 (pp) Q12907"
"pp","GP41 (pp) P14314","0.443","false","pp","GP41 (pp) P14314"
"pp","GP41 (pp) Q96R06","0.434","false","pp","GP41 (pp) Q96R06"
"pp","GP41 (pp) Q9UJZ1","0.447","false","pp","GP41 (pp) Q9UJZ1"
"pp","GP41 (pp) Q9Y277","0.445","false","pp","GP41 (pp) Q9Y277"
"pp","GP41 (pp) O00264","0.503","false","pp","GP41 (pp) O00264"
"pp","GP41 (pp) P55072","0.478","false","pp","GP41 (pp) P55072"
"pp","GP41 (pp) P30101","0.624","false","pp","GP41 (pp) P30101"
"pp","GP41 (pp) Q9P035","0.504","false","pp","GP41 (pp) Q9P035"
"pp","GP41 (pp) O75955","0.77","false","pp","GP41 (pp) O75955"
"pp","GP41 (pp) P13073","0.702","false","pp","GP41 (pp) P13073"
"pp","GP41 (pp) O94919","0.792","false","pp","GP41 (pp) O94919"
"pp","GP41 (pp) P45880","0.774","false","pp","GP41 (pp) P45880"
"pp","GP41 (pp) P21796","0.8","false","pp","GP41 (pp) P21796"
"pp","GP41 (pp) Q99623","0.797","false","pp","GP41 (pp) Q99623"
"pp","GP41 (pp) P35232","0.839","false","pp","GP41 (pp) P35232"
"pp","GP41 (pp) Q9Y5L4","0.802","false","pp","GP41 (pp) Q9Y5L4"
"pp","GP41 (pp) P49257","0.851","false","pp","GP41 (pp) P49257"
