Hallmark pathway,Gene symbol,STRING ID,Degree centrality
HALLMARK_ADIPOGENESIS,COL4A1,9606.ENSP00000364979,0.0227272727272727
HALLMARK_ADIPOGENESIS,CRAT,9606.ENSP00000315013,0.0227272727272727
HALLMARK_ADIPOGENESIS,LAMA4,9606.ENSP00000230538,0.0227272727272727
HALLMARK_ADIPOGENESIS,MGST3,9606.ENSP00000356864,0.0227272727272727
HALLMARK_ADIPOGENESIS,MRPL15,9606.ENSP00000260102,0.0227272727272727
HALLMARK_ADIPOGENESIS,PEX14,9606.ENSP00000349016,0.0227272727272727
HALLMARK_ADIPOGENESIS,REEP5,9606.ENSP00000368959,0.0227272727272727
HALLMARK_ADIPOGENESIS,STAT5A,9606.ENSP00000341208,0.0227272727272727
HALLMARK_ADIPOGENESIS,ATP1B3,9606.ENSP00000286371,0.0151515151515152
HALLMARK_ADIPOGENESIS,C3,9606.ENSP00000245907,0.0151515151515152
HALLMARK_ADIPOGENESIS,CHUK,9606.ENSP00000359424,0.0151515151515152
HALLMARK_ADIPOGENESIS,COQ3,9606.ENSP00000254759,0.0151515151515152
HALLMARK_ADIPOGENESIS,COQ5,9606.ENSP00000288532,0.0151515151515152
HALLMARK_ADIPOGENESIS,COQ9,9606.ENSP00000262507,0.0151515151515152
HALLMARK_ADIPOGENESIS,EPHX2,9606.ENSP00000430269,0.0151515151515152
HALLMARK_ADIPOGENESIS,FAH,9606.ENSP00000385080,0.0151515151515152
HALLMARK_ADIPOGENESIS,GRPEL1,9606.ENSP00000264954,0.0151515151515152
HALLMARK_ADIPOGENESIS,IMMT,9606.ENSP00000387262,0.0151515151515152
HALLMARK_ADIPOGENESIS,ITGA7,9606.ENSP00000452120,0.0151515151515152
HALLMARK_ADIPOGENESIS,LPCAT3,9606.ENSP00000261407,0.0151515151515152
HALLMARK_ADIPOGENESIS,RETSAT,9606.ENSP00000295802,0.0151515151515152
HALLMARK_ADIPOGENESIS,SAMM50,9606.ENSP00000345445,0.0151515151515152
HALLMARK_ADIPOGENESIS,SLC25A1,9606.ENSP00000215882,0.0151515151515152
HALLMARK_ADIPOGENESIS,ABCB8,9606.ENSP00000297504,0.0075757575757575
HALLMARK_ADIPOGENESIS,ADCY6,9606.ENSP00000311405,0.0075757575757575
HALLMARK_ADIPOGENESIS,AK2,9606.ENSP00000499935,0.0075757575757575
HALLMARK_ADIPOGENESIS,ANGPT1,9606.ENSP00000428340,0.0075757575757575
HALLMARK_ADIPOGENESIS,ARAF,9606.ENSP00000290277,0.0075757575757575
HALLMARK_ADIPOGENESIS,ATL2,9606.ENSP00000368237,0.0075757575757575
HALLMARK_ADIPOGENESIS,CAVIN1,9606.ENSP00000349541,0.0075757575757575
HALLMARK_ADIPOGENESIS,CAVIN2,9606.ENSP00000305675,0.0075757575757575
HALLMARK_ADIPOGENESIS,CHCHD10,9606.ENSP00000384973,0.0075757575757575
HALLMARK_ADIPOGENESIS,CMBL,9606.ENSP00000296658,0.0075757575757575
HALLMARK_ADIPOGENESIS,CMPK1,9606.ENSP00000360939,0.0075757575757575
HALLMARK_ADIPOGENESIS,COL15A1,9606.ENSP00000364140,0.0075757575757575
HALLMARK_ADIPOGENESIS,DECR1,9606.ENSP00000220764,0.0075757575757575
HALLMARK_ADIPOGENESIS,DNAJC15,9606.ENSP00000368523,0.0075757575757575
HALLMARK_ADIPOGENESIS,ELOVL6,9606.ENSP00000378105,0.0075757575757575
HALLMARK_ADIPOGENESIS,ESRRA,9606.ENSP00000384851,0.0075757575757575
HALLMARK_ADIPOGENESIS,GBE1,9606.ENSP00000410833,0.0075757575757575
HALLMARK_ADIPOGENESIS,GPHN,9606.ENSP00000417901,0.0075757575757575
HALLMARK_ADIPOGENESIS,LIFR,9606.ENSP00000398368,0.0075757575757575
HALLMARK_ADIPOGENESIS,LTC4S,9606.ENSP00000292596,0.0075757575757575
HALLMARK_ADIPOGENESIS,MCCC1,9606.ENSP00000265594,0.0075757575757575
HALLMARK_ADIPOGENESIS,MTARC2,9606.ENSP00000355880,0.0075757575757575
HALLMARK_ADIPOGENESIS,MTCH2,9606.ENSP00000303222,0.0075757575757575
HALLMARK_ADIPOGENESIS,ORM1,9606.ENSP00000259396,0.0075757575757575
HALLMARK_ADIPOGENESIS,PEMT,9606.ENSP00000255389,0.0075757575757575
HALLMARK_ADIPOGENESIS,PFKFB3,9606.ENSP00000492001,0.0075757575757575
HALLMARK_ADIPOGENESIS,PHYH,9606.ENSP00000263038,0.0075757575757575
HALLMARK_ADIPOGENESIS,PPM1B,9606.ENSP00000282412,0.0075757575757575
HALLMARK_ADIPOGENESIS,PTCD3,9606.ENSP00000254630,0.0075757575757575
HALLMARK_ADIPOGENESIS,REEP6,9606.ENSP00000233596,0.0075757575757575
HALLMARK_ADIPOGENESIS,RTN3,9606.ENSP00000367050,0.0075757575757575
HALLMARK_ADIPOGENESIS,SLC25A10,9606.ENSP00000446242,0.0075757575757575
HALLMARK_ADIPOGENESIS,SQOR,9606.ENSP00000456019,0.0075757575757575
HALLMARK_ADIPOGENESIS,TANK,9606.ENSP00000259075,0.0075757575757575
HALLMARK_ADIPOGENESIS,TST,9606.ENSP00000385828,0.0075757575757575
HALLMARK_ADIPOGENESIS,UBC,9606.ENSP00000441543,0.0075757575757575
HALLMARK_ADIPOGENESIS,UBQLN1,9606.ENSP00000365576,0.0075757575757575
HALLMARK_ADIPOGENESIS,VEGFB,9606.ENSP00000311127,0.0075757575757575
HALLMARK_ADIPOGENESIS,YWHAG,9606.ENSP00000306330,0.0075757575757575
HALLMARK_ALLOGRAFT_REJECTION,CD4,9606.ENSP00000011653,0.467065868263473
HALLMARK_ALLOGRAFT_REJECTION,IFNG,9606.ENSP00000229135,0.407185628742515
HALLMARK_ALLOGRAFT_REJECTION,CD8A,9606.ENSP00000386559,0.401197604790419
HALLMARK_ALLOGRAFT_REJECTION,TNF,9606.ENSP00000398698,0.383233532934132
HALLMARK_ALLOGRAFT_REJECTION,IL6,9606.ENSP00000385675,0.353293413173653
HALLMARK_ALLOGRAFT_REJECTION,IL1B,9606.ENSP00000263341,0.341317365269461
HALLMARK_ALLOGRAFT_REJECTION,PTPRC,9606.ENSP00000411355,0.317365269461078
HALLMARK_ALLOGRAFT_REJECTION,STAT1,9606.ENSP00000354394,0.281437125748503
HALLMARK_ALLOGRAFT_REJECTION,CCL2,9606.ENSP00000225831,0.251497005988024
HALLMARK_ALLOGRAFT_REJECTION,CCL5,9606.ENSP00000474412,0.239520958083832
HALLMARK_ALLOGRAFT_REJECTION,EGFR,9606.ENSP00000275493,0.221556886227545
HALLMARK_ALLOGRAFT_REJECTION,CD40LG,9606.ENSP00000359663,0.203592814371257
HALLMARK_ALLOGRAFT_REJECTION,CD86,9606.ENSP00000332049,0.203592814371257
HALLMARK_ALLOGRAFT_REJECTION,CCR5,9606.ENSP00000292303,0.197604790419162
HALLMARK_ALLOGRAFT_REJECTION,CD247,9606.ENSP00000354782,0.197604790419162
HALLMARK_ALLOGRAFT_REJECTION,CD28,9606.ENSP00000324890,0.197604790419162
HALLMARK_ALLOGRAFT_REJECTION,CD40,9606.ENSP00000361359,0.197604790419162
HALLMARK_ALLOGRAFT_REJECTION,ICAM1,9606.ENSP00000264832,0.197604790419162
HALLMARK_ALLOGRAFT_REJECTION,CD2,9606.ENSP00000358490,0.18562874251497
HALLMARK_ALLOGRAFT_REJECTION,CD80,9606.ENSP00000264246,0.18562874251497
HALLMARK_ALLOGRAFT_REJECTION,JAK2,9606.ENSP00000371067,0.18562874251497
HALLMARK_ALLOGRAFT_REJECTION,TLR2,9606.ENSP00000260010,0.18562874251497
HALLMARK_ALLOGRAFT_REJECTION,CXCL9,9606.ENSP00000354901,0.179640718562874
HALLMARK_ALLOGRAFT_REJECTION,IL15,9606.ENSP00000296545,0.179640718562874
HALLMARK_ALLOGRAFT_REJECTION,IL7,9606.ENSP00000263851,0.179640718562874
